Time,Behavior,Comment
10662.039,Conspecific interaction,
10881.926,Right turn,
10885.378,Right turn,
10890.101,Right turn,
10895.175,Swallow,
10898.424,Right turn,
10903.705,Straight swim,
11208.479,Swallow,
11210.406,Swallow,
11218.579,Right turn,
11230.352,Straight swim,
11518.963,Swim along ground,
11527.768,Right turn,
11542.947,Swim along ground,
11544.793,Swallow,
11546.345,Swim along ground,
11682.518,Straight swim,
11721.394,Swim along ground,
11847.946,Straight swim,
11899.749,Right turn,
11910.921,Straight swim,
11944.045,Right turn,
11958.995,Straight swim,
11972.049,Straight swim,
12057.031,Right turn,
12081.489,Swallow,
12085.89,Right turn,
12099.162,Straight swim,
12122.04,Right turn,
12142.766,Straight swim,
12213.563,Swallow,
12215.716,Straight swim,
12270.268,Right turn,
12306.363,Straight swim,
12434.85,Straight swim,
12513.949,Swallow,
12518.749,Straight swim,
12822.225,Swallow,
12823.85,Straight swim,
12943.905,Straight swim,
12976.904,Swim along ground,
13275.745,Out of water,
