"","Time","Pressure","Compass1","Compass2","Compass3","AccelSway","Sway.g.","AccelSurge","Surge.g.","AccelHeave","Heave.g.","Temperature","Gyro1","Gyro2","Gyro3","Accel1","Accel2","Accel3","Temp2","Light","TempExt","ODBA","Time","Behavior","Comments","feeding"
"207",19.83385,-0.548872893,833,475,-513,-4736,-0.578125,-5040,-0.615234375,1056,0.12890625,960,1132,1027,73,9440,9572,-972,62736,3500,20.5,-0.154296875,19:50:31,"Feed",NA,1
"208",19.83386667,-0.5543067061,749,298,-453,-480,-0.05859375,-4496,-0.548828125,8048,0.982421875,960,-1138,206,-823,136,10648,17928,62720,3500,20.5,0.410807292,19:50:32,"Right turn",NA,0
"209",19.83388333,-0.5490692959,665,279,-461,2256,0.275390625,-3056,-0.373046875,6912,0.84375,960,-404,-114,-79,-4260,10648,16644,62704,3500,20.5,0.154947917,19:50:33,"Right turn",NA,0
"210",19.8339,-0.5431837562,636,261,-400,2688,0.328125,-2992,-0.365234375,7232,0.8828125,960,342,338,-199,-2988,7500,14092,62720,3500,20.5,0.143880208,19:50:34,"Right turn",NA,0
"211",19.83391667,-0.5590400155,619,229,-506,928,0.11328125,2240,0.2734375,7488,0.9140625,960,-805,-589,-400,-680,-4604,14240,62688,3500,20.5625,-0.057291667,19:50:35,"Right turn",NA,0
"212",19.83393333,-0.5672692962,647,224,-573,-880,-0.107421875,2960,0.361328125,7568,0.923828125,960,464,335,171,2576,-8784,14556,62704,3500,20.625,0.041666667,19:50:36,"Right turn",NA,0
"213",19.83395,-0.5701891524,779,296,-720,-5248,-0.640625,5200,0.634765625,5680,0.693359375,960,-1544,-2753,234,11452,-9052,11276,62672,3500,20.625,-0.063802083,19:50:37,"Right turn",NA,0
"214",19.83396667,-0.5596685047,869,502,-874,-5440,-0.6640625,6240,0.76171875,-2464,-0.30078125,960,-173,-1038,184,12508,-9040,-2512,62720,3500,20.5625,-0.076822917,19:50:38,"Right turn",NA,0
"215",19.83398333,-0.5780518144,829,589,-827,-4128,-0.50390625,4752,0.580078125,-4832,-0.58984375,960,-187,-342,-74,8584,-7932,-9696,62720,3500,20.5625,-0.001302083,19:50:39,"Right turn",NA,0
"216",19.834,-0.5599107349,813,596,-795,-4064,-0.49609375,4912,0.599609375,-6000,-0.732421875,960,-164,-145,-37,8440,-10168,-12392,62704,3500,20.5625,-0.022786458,19:50:40,"Right turn",NA,0
"217",19.83401667,-0.549147857,807,314,-514,-7280,-0.888671875,992,0.12109375,5168,0.630859375,960,1507,960,-1667,13092,-824,10568,62736,3500,20.5625,0.1171875,19:50:41,"Right turn",NA,0
